Languages,Popularity in %
JavaScript,65.319407
HTML,62.249153
CSS,51.56947
C#,47.266198
SQL,43.187396
Java,35.932426
Bash/Shell,31.533053
Python,30.710637
PHP,24.349805
C++,20.10217
C,18.250974
TypeScript,13.783825
Ruby,8.00263
Swift,6.383086
Assembly,5.826716
Go,5.596075
Objective-C,5.57382
VB.NET,5.314855
R,4.868747
Matlab,4.616863
VBA,3.85413
Kotlin,3.548632
Scala,3.459613
Groovy,3.412068
Perl,3.317991
Visual Basic 6,3.122756
Lua,2.764655
CoffeeScript,2.63315
Delphi/Object Pascal,2.048455
Haskell,1.983714
Rust,1.878509
F#,1.127915
Clojure,1.043953
Erlang,0.896262
Cobol,0.596834
Ocaml,0.596834
Julia,0.434981
Hack,0.256942
